Do_Number,So_Number,Invoice_Number,Weight,CBM,Location_Code
300000,300000,300000,77.1,0.022134,SHTP-0165
300001,300001,300001,22.16,0.016538,SHTP-0093
300002,300002,300002,12.85,0.022134,SHTP-0093
300003,300003,300003,132.1,0.033592,SHTP-0093
300004,300004,300004,8.31,0.016538,SHTP-0093
300005,300005,300005,43.95,0.025639,SHTP-0093
300006,300006,300006,38.78,0.016538,SHTP-0093
300007,300007,300007,7.95,0.01134,SHTP-0093
300008,300008,300008,2.65,0.01134,SHTP-0093
300009,300009,300009,2.65,0.009653,SHTP-0093
300010,300010,300010,2.65,0.009653,SHTP-0093
300011,300011,300011,2.045,0.016095,SHTP-0093
300012,300012,300012,5.05,0.013006,SHTP-0093
300013,300013,300013,5.05,0.013006,SHTP-0093
300014,300014,300014,5.3,0.01134,SHTP-0093
300015,300015,300015,5.3,0.009653,SHTP-0093
300016,300016,300016,2.65,0.009653,SHTP-0093
300017,300017,300017,5.05,0.013006,SHTP-0093
300018,300018,300018,2.045,0.016095,SHTP-0093
300019,300019,300019,2.045,0.016095,SHTP-0093
300020,300020,300020,2.045,0.016095,SHTP-0093
300021,300021,300021,5.05,0.013006,SHTP-0165
300022,300022,300022,7.95,0.009653,SHTP-0165
300023,300023,300023,5.05,0.013006,SHTP-0752
300024,300024,300024,8.31,0.016538,SHTP-0752
300025,300025,300025,74.79,0.016538,SHTP-0752
300026,300026,300026,10.868,0.010583,SHTP-0752
300027,300027,300027,27.7,0.016538,SHTP-0752
300028,300028,300028,132.1,0.033592,SHTP-0752
300029,300029,300029,27.7,0.016538,SHTP-0851
300030,300030,300030,38.55,0.022134,SHTP-0851
300031,300031,300031,27.7,0.016538,SHTP-0851
300032,300032,300032,82.336,0.007812,SHTP-0851
300033,300033,300033,25,0.021528,SHTP-0851
300034,300034,300034,2.65,0.005429,SHTP-0752
300035,300035,300035,4.09,0.016095,SHTP-0752
300036,300036,300036,5.05,0.013006,SHTP-0752
300037,300037,300037,7.95,0.009653,SHTP-0752
300038,300038,300038,7.95,0.009653,SHTP-0752
300039,300039,300039,10.1,0.013006,SHTP-0752
300040,300040,300040,5.05,0.013006,SHTP-0752
300041,300041,300041,5.3,0.01134,SHTP-0752
300042,300042,300042,31.25,0.021528,SHTP-0752
300043,300043,300043,31.25,0.021528,SHTP-0752
300044,300044,300044,2.65,0.005429,SHTP-0752
300045,300045,300045,4.09,0.016095,SHTP-0752
300046,300046,300046,25,0.021528,SHTP-0851
300047,300047,300047,4.09,0.016095,SHTP-0752
300048,300048,300048,4.09,0.016095,SHTP-0752
300049,300049,300049,7.95,0.009653,SHTP-0752
300050,300050,300050,7.95,0.009653,SHTP-0752
300051,300051,300051,5.3,0.009653,SHTP-0752
300052,300052,300052,5.3,0.009653,SHTP-0752
300053,300053,300053,5.3,0.01134,SHTP-0752
300054,300054,300054,4.09,0.016095,SHTP-0165
300055,300055,300055,7.95,0.009653,SHTP-0165
300056,300056,300056,4.09,0.016095,SHTP-0165
300057,300057,300057,10.6,0.01134,SHTP-0165
300058,300058,300058,5.05,0.013006,SHTP-0165
300059,300059,300059,2.65,0.01134,SHTP-0165
300060,300060,300060,18.75,0.021528,SHTP-0165
300061,300061,300061,4.09,0.016095,SHTP-0165
300062,300062,300062,7.95,0.009653,SHTP-0165
300063,300063,300063,5.3,0.009653,SHTP-0165
300064,300064,300064,18.75,0.021528,SHTP-0165
300065,300065,300065,7.95,0.009653,SHTP-0165
300066,300066,300066,5.3,0.009653,SHTP-0165
300067,300067,300067,10.1,0.013006,SHTP-0165
300068,300068,300068,5.05,0.013006,SHTP-0165
300069,300069,300069,5.3,0.01134,SHTP-0165
300070,300070,300070,2.65,0.01134,SHTP-0165
300071,300071,300071,5.05,0.013006,SHTP-0165
300072,300072,300072,10.1,0.013006,SHTP-0165
300073,300073,300073,5.54,0.016538,SHTP-0165
300074,300074,300074,29.3,0.025639,SHTP-0165
300075,300075,300075,49.86,0.016538,SHTP-0165
300076,300076,300076,64.25,0.022134,SHTP-0165
300077,300077,300077,16.62,0.016538,SHTP-0165
300078,300078,300078,7.95,0.009653,SHTP-0645
300079,300079,300079,5.3,0.009653,SHTP-0645
300080,300080,300080,5.3,0.009653,SHTP-0645
300081,300081,300081,10.6,0.01134,SHTP-0823
